condition,condition_label,initialization,mutation,seed,run_id,generation,best_search_fitness,wikitext2_ppl,stage2_candidate_evaluations_cumulative,stage2_evaluated_tokens_cumulative,total_candidate_evaluations_cumulative,total_evaluated_tokens_cumulative,stage2_runtime_minutes_cumulative,total_runtime_minutes_cumulative
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,26,0.615234375,11.3359375,734,1294336,734,1294336,12.29674338956053,12.29674338956053
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,27,0.615234375,,761,1343488,761,1343488,12.497627550611893,12.497627550611893
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,28,0.615234375,,788,1392640,788,1392640,12.700154427283755,12.700154427283755
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,29,0.615234375,,815,1441792,815,1441792,12.911444456037135,12.911444456037135
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,30,0.61474609375,,842,1490944,842,1490944,13.111304721608757,13.111304721608757
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,31,0.61376953125,11.3515625,869,1540096,869,1540096,14.36449489540731,14.36449489540731
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,32,0.61474609375,,896,1589248,896,1589248,14.5763890103437,14.5763890103437
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,33,0.61474609375,,923,1638400,923,1638400,14.786462202357749,14.786462202357749
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,34,0.615234375,,950,1687552,950,1687552,14.994943694149454,14.994943694149454
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,35,0.61279296875,,977,1736704,977,1736704,15.19781921027849,15.19781921027849
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,36,0.5947265625,11.2265625,1004,1785856,1004,1785856,16.435430249602845,16.435430249602845
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,37,0.5947265625,,1031,1835008,1031,1835008,16.638751266151665,16.638751266151665
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,38,0.56494140625,,1058,1884160,1058,1884160,16.84036874361336,16.84036874361336
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,39,0.564453125,,1085,1933312,1085,1933312,17.052182974293828,17.052182974293828
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,40,0.56396484375,,1112,1982464,1112,1982464,17.263893682230265,17.263893682230265
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,41,0.5595703125,11.0078125,1139,2031616,1139,2031616,18.511408935983976,18.511408935983976
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,42,0.56005859375,,1166,2080768,1166,2080768,18.72720864834264,18.72720864834264
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,43,0.56005859375,,1193,2129920,1193,2129920,18.94272995175173,18.94272995175173
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,44,0.560546875,,1220,2179072,1220,2179072,19.14857147022461,19.14857147022461
